id,type,time,host,relative_abd
S17_14,2bRAD-M,5PM,S14,0.047145436
S17_6,2bRAD-M,5PM,S6,0.00088723
S17_7,2bRAD-M,5PM,S7,0.007682447
S17_9,2bRAD-M,5PM,S9,0.006578872
S9_14,2bRAD-M,9AM,S14,0.063586087
S9_6,2bRAD-M,9AM,S6,0.001452441
S9_7,2bRAD-M,9AM,S7,0.040200911
S9_9,2bRAD-M,9AM,S9,0.009811353
S17_14,qPCR,5PM,S14,0.049188017
S17_6,qPCR,5PM,S6,0.00104354
S17_7,qPCR,5PM,S7,0.014905791
S17_9,qPCR,5PM,S9,0.003369497
S9_14,qPCR,9AM,S14,0.075485153
S9_6,qPCR,9AM,S6,0.002144891
S9_7,qPCR,9AM,S7,0.054343421
S9_9,qPCR,9AM,S9,0.006166047
